credit_card_number,credit_card_provider,id,price,purchase_date,isbn10
2286937402408045,Discover,8360,7681,2020-03-02,0-7276-4998-1
30009424238819,JCB 15 digit,2416,1820,2020-04-13,0-617-66614-8
346863220162402,Diners Club / Carte Blanche,1206,2782,2020-09-02,1-4775-5373-8
4591096487982840,Mastercard,7494,844,2020-09-23,0-630-45908-8
4373723705109567,Maestro,8450,4740,2020-06-06,1-80546-961-4
2714806929128265,VISA 16 digit,7041,2332,2020-01-13,1-904500-47-1
30186507951987,JCB 16 digit,9127,5996,2020-02-19,1-330-89994-6
4185081867435439,Discover,9496,7010,2020-02-01,0-292-35252-2
3529153418073386,American Express,347,9009,2020-10-27,0-7900-9391-X
3573735472365701,Mastercard,3134,8473,2020-05-29,0-7426-3744-1
30275781678513,VISA 16 digit,3189,6870,2020-01-20,1-963129-90-3
3501841279462571,VISA 16 digit,2983,6233,2020-01-12,0-215-31944-3
378347169531596,Discover,7273,5526,2020-05-18,1-01-901258-7
4976020433634,Discover,4281,4832,2020-02-02,0-11-297894-0
3577657396331757,Discover,6957,586,2020-10-25,0-279-05508-0
2244336535950448,Discover,7378,7443,2020-02-28,1-86869-073-3
4264965898668667,Maestro,1024,1284,2020-09-01,1-4602-3059-0
3595100312009759,Mastercard,5469,8981,2020-11-04,1-232-55040-X
30365048239397,American Express,6298,8589,2020-04-24,1-9746-9910-2
4385408986078498820,Discover,1759,8048,2020-02-21,1-941731-92-9
4609717759971589,JCB 16 digit,2434,2072,2020-05-17,0-928828-08-5
4978144660726874,Discover,1329,3997,2020-01-19,1-71276-939-1
4739505169342513506,JCB 16 digit,6300,402,2020-05-06,0-16-260677-X
4672104580121860,JCB 16 digit,4319,8877,2020-02-09,0-85131-978-5
501873015694,JCB 15 digit,5875,6950,2020-09-07,0-09-522511-0
30149775640393,Discover,8500,7192,2020-07-11,0-473-70376-9
3501327022859008,Discover,7827,8029,2020-03-25,0-06-283554-8
30579559842148,JCB 16 digit,8343,9610,2020-02-20,0-239-89800-1
630493682490,JCB 15 digit,7023,9345,2020-03-02,0-218-66746-9
2262742879220511,VISA 16 digit,2680,4887,2020-06-22,0-240-85779-8
4261491409720725855,Maestro,1339,8574,2020-05-28,1-72517-127-9
2237427007592328,VISA 19 digit,918,1602,2020-06-13,0-929111-18-4
372388116371112,American Express,959,6105,2020-02-23,1-75119-892-8
6589958010610553,VISA 19 digit,5896,4656,2020-02-27,0-17-607266-7
2290734425794483,Mastercard,5046,443,2020-06-27,0-89774-857-3
4278634898499499,VISA 16 digit,2461,8116,2020-05-19,0-7560-8364-8
2719528594946392,Maestro,6346,9715,2020-03-25,0-260-82118-7
639004976549,JCB 16 digit,6178,3787,2020-07-04,1-02-915533-X
563584707829,VISA 16 digit,3814,7398,2020-01-07,1-146-45505-4
3529750405134996,JCB 15 digit,2552,1049,2020-02-12,1-79258-529-2
375391398762237,JCB 15 digit,9096,3764,2020-08-04,1-63423-103-1
3581003721201783,VISA 16 digit,2125,3285,2020-08-02,1-79187-697-8
676124879955,JCB 16 digit,9410,9145,2020-10-28,1-305-69783-9
180018612226229,VISA 13 digit,7922,3970,2020-07-09,1-84215-618-7
4250656160271696,Discover,5502,6034,2020-02-17,0-919493-15-7
3543583124722250,JCB 16 digit,4722,7535,2020-10-18,1-67943-168-4
370125498827234,Diners Club / Carte Blanche,7657,40,2020-08-17,1-4965-5504-X
584204459583,VISA 19 digit,8494,3734,2020-07-16,1-167-76164-2
2276063217076521,VISA 16 digit,1783,3977,2020-04-17,0-16-139050-1
38745182871802,Discover,4515,7509,2020-01-31,1-77874-029-4
4179383076774097,Mastercard,752,8227,2020-08-28,0-255-58153-X
6011342129051249,Maestro,3735,8930,2020-07-01,0-18-050096-1
372768276438738,Mastercard,8917,5254,2020-10-27,1-74736-934-9
3592524413837383,Mastercard,1388,5076,2020-10-07,1-65720-441-3
6535411806057907,American Express,4710,4492,2020-03-27,1-81779-629-1
2277216550820587,American Express,2337,9065,2020-10-14,1-61058-162-8
3546832388745912,JCB 16 digit,8008,9860,2020-06-20,1-252-80177-7
4978202555379587,VISA 19 digit,8713,215,2020-10-14,0-8098-1787-X
213174034877551,VISA 19 digit,3851,2459,2020-10-11,0-289-64801-7
2287695266791414,VISA 16 digit,9843,4445,2020-01-04,0-550-77835-7
3567175067150879,JCB 16 digit,2339,7757,2020-02-17,1-327-14712-2
6011085893379268,Maestro,914,4507,2020-01-23,1-73139-319-9
3500404710503726,Diners Club / Carte Blanche,9522,5155,2020-10-22,0-7329-3607-1
3521322741684171,VISA 16 digit,6500,3786,2020-04-12,1-80573-856-9
2490148487326878,Mastercard,5107,9310,2020-09-24,1-193-18917-9
4346331842790641680,Maestro,3626,7546,2020-10-26,1-4178-3683-0
4388292733766882,JCB 16 digit,131,9961,2020-02-21,1-62047-297-X
30242934238967,VISA 19 digit,5327,258,2020-10-23,1-908529-06-7
4562895181939476,VISA 16 digit,2507,9082,2020-02-01,0-478-90564-5
4325174573771667,VISA 13 digit,8881,6867,2020-09-03,1-881587-01-0
213144125453265,Maestro,5146,4485,2020-06-04,1-262-11695-3
3514331079531622,American Express,5740,5928,2020-01-25,1-5039-9646-8
4720176963390748941,VISA 16 digit,579,3254,2020-02-22,1-386-22347-6
3568416107013787,Diners Club / Carte Blanche,3265,4406,2020-06-26,1-333-23471-6
180001851720789,VISA 16 digit,4932,3929,2020-09-22,0-253-61448-1
3584817700537843,Diners Club / Carte Blanche,8631,4577,2020-09-24,1-4005-8400-0
180064093459749,Maestro,9056,7510,2020-01-16,1-145-96118-5
4593697234847,VISA 16 digit,4730,1606,2020-06-16,1-85310-097-8
